major_name,onetsoc_code,match_strength
Business Administration,11-1011.00,0.98
Management,11-1011.00,0.98
Entrepreneurship,11-1011.00,0.88
Environmental Sustainability,11-1011.03,0.98
Business Administration,11-1011.03,0.77
Environmental Engineering,11-1011.03,0.77
Management,11-1021.00,0.98
Business Administration,11-1021.00,0.91
Human Resource Management,11-1021.00,0.89
Political Science,11-1031.00,0.95
Marketing,11-2011.00,0.96
Business Intelligence,11-2011.00,0.80
Business Administration,11-2011.00,0.72
Communication Studies,11-2011.00,0.70
Marketing,11-2021.00,0.96
Business Intelligence,11-2021.00,0.80
Business Administration,11-2021.00,0.72
Communication Studies,11-2021.00,0.70
Professional Selling,11-2022.00,0.98
Entrepreneurship,11-2022.00,0.91
Business Administration,11-2022.00,0.90
Management,11-2022.00,0.90
Operations Management,11-2022.00,0.82
Public Relations,11-2032.00,0.98
"Art History, Theory, and Criticism",11-2032.00,0.62
Art,11-2032.00,0.62
Business Administration,11-2033.00,0.98
Management,11-2033.00,0.98
Operations Management,11-2033.00,0.80
Business Administration,11-3012.00,0.98
Management,11-3012.00,0.92
Operations Management,11-3012.00,0.80
Business Administration,11-3013.00,0.98
Management,11-3013.00,0.91
Operations Management,11-3013.00,0.91
Business Administration,11-3013.01,0.98
Computer Security,11-3013.01,0.98
Management,11-3013.01,0.98
Operations Management,11-3013.01,0.80
Computer Information Systems,11-3021.00,0.98
Health Care Information Systems Major,11-3021.00,0.89
Business Intelligence,11-3021.00,0.84
Finance,11-3031.00,0.98
Business Administration,11-3031.00,0.94
Management,11-3031.00,0.94
Accounting,11-3031.00,0.90
Operations Management,11-3031.00,0.85
Finance,11-3031.01,0.98
Accounting,11-3031.01,0.65
Aviation and Aerospace Management,11-3031.01,0.65
Business Administration,11-3031.03,0.98
Management,11-3031.03,0.91
Operations Management,11-3031.03,0.91
Advanced Manufacturing Sciences,11-3051.00,0.98
Advanced Manufacturing Operations,11-3051.00,0.93
Industrial Design,11-3051.00,0.85
Chemistry,11-3051.01,0.98
Biology,11-3051.01,0.76
Nutrition Science,11-3051.01,0.76
Business Administration,11-3051.02,0.98
Management,11-3051.02,0.91
Operations Management,11-3051.02,0.91
Business Administration,11-3051.03,0.98
Video Production,11-3051.03,0.98
Film Studies and Production,11-3051.03,0.91
Management,11-3051.03,0.91
Media Production and Leadership,11-3051.03,0.91
Operations Management,11-3051.03,0.91
Business Administration,11-3051.04,0.98
Management,11-3051.04,0.91
Operations Management,11-3051.04,0.91
Business Administration,11-3051.06,0.98
Management,11-3051.06,0.91
Operations Management,11-3051.06,0.91
Business Administration,11-3061.00,0.98
Management,11-3061.00,0.98
Operations Management,11-3061.00,0.80
Business Administration,11-3071.00,0.98
Management,11-3071.00,0.98
Operations Management,11-3071.00,0.98
Political Science,11-3071.00,0.93
International Business,11-3071.00,0.80
Operations Management,11-3071.04,0.98
Business Administration,11-3071.04,0.87
Management,11-3071.04,0.87
Business Administration,11-3111.00,0.98
Management,11-3111.00,0.98
Operations Management,11-3111.00,0.80
Human Resource Management,11-3121.00,0.98
Business Administration,11-3121.00,0.80
Management,11-3121.00,0.80
Human Resource Management,11-3131.00,0.98
Business Administration,11-3131.00,0.91
Human Development and Family Studies,11-3131.00,0.91
Management,11-3131.00,0.91
Operations Management,11-3131.00,0.77
Business Administration,11-9013.00,0.98
Management,11-9013.00,0.92
Operations Management,11-9013.00,0.87
Marketing,11-9013.00,0.84
Construction Project Management,11-9021.00,0.98
Civil Engineering Technology,11-9021.00,0.72
Advanced Manufacturing Operations,11-9021.00,0.62
Early Childhood Education,11-9031.00,0.98
Human Development and Family Studies,11-9031.00,0.82
Special Education,11-9031.00,0.70
Early Childhood Education,11-9032.00,0.98
Elementary Education,11-9032.00,0.98
Art Education,11-9032.00,0.92
K-12 Physical Education,11-9032.00,0.87
Music Education,11-9032.00,0.87
Special Education,11-9032.00,0.87
Art Education,11-9033.00,0.98
Early Childhood Education,11-9033.00,0.98
Elementary Education,11-9033.00,0.98
K-12 Physical Education,11-9033.00,0.91
Music Education,11-9033.00,0.91
Special Education,11-9033.00,0.91
Art Education,11-9039.00,0.98
Early Childhood Education,11-9039.00,0.98
Elementary Education,11-9039.00,0.98
K-12 Physical Education,11-9039.00,0.91
Music Education,11-9039.00,0.91
Special Education,11-9039.00,0.91
Civil Engineering Technology,11-9041.00,0.98
Computer Engineering,11-9041.00,0.98
Electrical Engineering,11-9041.00,0.98
Environmental Engineering,11-9041.00,0.98
Mechanical Engineering Technology,11-9041.00,0.98
Applied Geology,11-9041.00,0.78
Applied Geology,11-9041.01,0.89
Biochemistry,11-9041.01,0.89
Biology,11-9041.01,0.89
Chemistry,11-9041.01,0.89
Data Science and Machine Learning,11-9041.01,0.89
Environmental Science,11-9041.01,0.89
Hospitality Leadership,11-9051.00,0.98
Business Administration,11-9051.00,0.96
Management,11-9051.00,0.96
Brewery Operations,11-9051.00,0.79
Business Administration,11-9071.00,0.98
Management,11-9071.00,0.91
Operations Management,11-9071.00,0.91
Business Administration,11-9072.00,0.98
Management,11-9072.00,0.91
Operations Management,11-9072.00,0.91
Business Administration,11-9081.00,0.98
Management,11-9081.00,0.98
Hospitality Leadership,11-9081.00,0.80
Hotel Management,11-9081.00,0.80
Health Care Management,11-9111.00,0.98
Public Health,11-9111.00,0.96
Health Care Professional Services,11-9111.00,0.89
Integrative Health Care,11-9111.00,0.89
Health Care Information Systems Major,11-9111.00,0.85
Aging Services Leadership,11-9111.00,0.84
Environmental Science,11-9121.00,0.98
Mathematics,11-9121.00,0.79
Statistical Science,11-9121.00,0.79
Health Care Professional Services,11-9121.01,0.94
Nursing,11-9121.01,0.94
Biochemistry,11-9121.01,0.90
Biology,11-9121.01,0.90
Chemistry,11-9121.01,0.90
Environmental Engineering,11-9121.02,0.94
Industrial Design,11-9121.02,0.94
Applied Geology,11-9121.02,0.72
Business Administration,11-9131.00,0.98
Management,11-9131.00,0.83
Accounting,11-9131.00,0.68
Real Estate,11-9141.00,0.98
Business Administration,11-9141.00,0.77
Management,11-9141.00,0.77
Social Work,11-9151.00,0.98
Human Services,11-9151.00,0.82
Psychology Major,11-9151.00,0.78
Fire and Emergency Response Administration,11-9161.00,0.96
Public Health,11-9161.00,0.70
Criminal Justice and Criminology,11-9161.00,0.68
Business Administration,11-9171.00,0.98
Management,11-9171.00,0.98
Operations Management,11-9171.00,0.80
Business Administration,11-9179.00,0.98
Management,11-9179.00,0.98
Operations Management,11-9179.00,0.80
Public Health,11-9179.01,0.98
Integrative Health Care,11-9179.01,0.86
Exercise Science,11-9179.01,0.76
Business Administration,11-9179.02,0.98
Management,11-9179.02,0.98
Operations Management,11-9179.02,0.87
Finance,11-9179.02,0.80
Business Administration,11-9199.00,0.98
Management,11-9199.00,0.98
Operations Management,11-9199.00,0.80
Business Administration,11-9199.01,0.98
Management,11-9199.01,0.98
Video Production,11-9199.01,0.89
Operations Management,11-9199.01,0.80
Business Administration,11-9199.02,0.98
Management,11-9199.02,0.98
Operations Management,11-9199.02,0.80
Business Administration,11-9199.08,0.98
Management,11-9199.08,0.98
Operations Management,11-9199.08,0.80
Management,11-9199.09,0.98
Business Administration,11-9199.09,0.89
Operations Management,11-9199.09,0.84
Business Administration,11-9199.10,0.98
Environmental Engineering,11-9199.10,0.88
Environmental Science,11-9199.10,0.88
Environmental Sustainability,11-9199.10,0.88
Management,11-9199.10,0.87
Construction Project Management,11-9199.10,0.84
Business Administration,11-9199.11,0.98
Management,11-9199.11,0.98
Operations Management,11-9199.11,0.80
Special Education,11-9199.11,0.80
Business Administration,13-1011.00,0.98
