session_id,user_R,user_I,user_A,user_S,user_E,user_C,questions_answered,created_at
smoke-test,5,3,1,0,0,0,0,2026-06-08T21:51:00.773Z
smoke-test,5,3,1,0,0,0,0,2026-06-08T22:01:09.091Z
anonymous,6,5,4,3,2,1,0,2026-06-08T22:01:09.175Z
anonymous,6,5,4,3,2,1,0,2026-06-08T22:01:09.178Z
anonymous,6,5,4,3,2,1,0,2026-06-08T22:01:09.183Z
anonymous,6,5,4,3,2,1,0,2026-06-08T22:01:09.186Z
anonymous,6,5,4,3,2,1,0,2026-06-08T22:01:09.190Z
anonymous,6,5,4,3,2,1,0,2026-06-08T22:01:09.195Z
anonymous,6,5,4,3,2,1,0,2026-06-08T22:01:09.197Z
test-1780956069037-671776-careers,6,5,4,3,2,1,0,2026-06-08T22:01:09.199Z
anonymous,1,1,1,1,1,6,0,2026-06-08T22:01:09.201Z
test-1780956069037-671776-s1,1,2,3,4,5,6,12,2026-06-08T22:01:09.910Z
test-1780956069037-671776-s2,1,2,3,4,5,6,12,2026-06-08T22:01:09.911Z
test-1780956069037-671776-s3,1,1,1,1,1,1,0,2026-06-08T22:01:09.915Z
test-1780956069037-671776-s4,2,2,2,2,2,2,24,2026-06-08T22:01:09.916Z
test-1780956069037-671776-s5,1,0,0,0,0,0,12,2026-06-08T22:01:09.918Z
test-1780956069037-671776-s5,9,0,0,0,0,0,48,2026-06-08T22:01:09.919Z
test-1780956069037-671776-s6,7,0,0,0,0,0,48,2026-06-08T22:01:09.921Z
test-1780956069037-671776-s6,7,0,0,0,0,0,48,2026-06-08T22:01:09.921Z
anonymous,1,1,1,1,1,1,6,2026-06-08T22:01:09.925Z
test-1780956069037-671776-c1,1,1,1,1,1,1,6,2026-06-08T22:01:09.926Z
test-1780956069037-671776-c2,4,4,4,4,4,4,36,2026-06-08T22:01:09.957Z
smoke-test,5,3,1,0,0,0,0,2026-06-08T22:01:37.301Z
anonymous,6,5,4,3,2,1,6,2026-06-08T22:01:37.379Z
anonymous,6,5,4,3,2,1,6,2026-06-08T22:01:37.381Z
anonymous,6,5,4,3,2,1,6,2026-06-08T22:01:37.383Z
anonymous,6,5,4,3,2,1,6,2026-06-08T22:01:37.386Z
anonymous,6,5,4,3,2,1,6,2026-06-08T22:01:37.389Z
anonymous,6,5,4,3,2,1,6,2026-06-08T22:01:37.391Z
anonymous,6,5,4,3,2,1,6,2026-06-08T22:01:37.393Z
test-1780956097247-763495-careers,6,5,4,3,2,1,0,2026-06-08T22:01:37.395Z
anonymous,1,1,1,1,1,6,6,2026-06-08T22:01:37.396Z
test-1780956097247-763495-s1,1,2,3,4,5,6,12,2026-06-08T22:01:38.099Z
test-1780956097247-763495-s2,1,2,3,4,5,6,12,2026-06-08T22:01:38.100Z
test-1780956097247-763495-s3,1,1,1,1,1,1,0,2026-06-08T22:01:38.103Z
test-1780956097247-763495-s4,2,2,2,2,2,2,24,2026-06-08T22:01:38.104Z
test-1780956097247-763495-s5,1,0,0,0,0,0,12,2026-06-08T22:01:38.106Z
test-1780956097247-763495-s5,9,0,0,0,0,0,48,2026-06-08T22:01:38.106Z
test-1780956097247-763495-s6,7,0,0,0,0,0,48,2026-06-08T22:01:38.108Z
test-1780956097247-763495-s6,7,0,0,0,0,0,48,2026-06-08T22:01:38.108Z
anonymous,1,1,1,1,1,6,6,2026-06-08T22:01:37.396Z
test-1780956097247-763495-c1,1,1,1,1,1,1,6,2026-06-08T22:01:38.112Z
test-1780956097247-763495-c2,4,4,4,4,4,4,36,2026-06-08T22:01:38.156Z
29f8785a-0d70-495c-a861-53374e9c0346,1,1,1,1,1,0,12,2026-06-08T22:04:03.563Z
29f8785a-0d70-495c-a861-53374e9c0346,1,1,1,1,1,0,12,2026-06-08T22:04:03.563Z
29f8785a-0d70-495c-a861-53374e9c0346,1,1,1,1,1,0,12,2026-06-08T22:04:04.478Z
29f8785a-0d70-495c-a861-53374e9c0346,1,1,1,1,1,0,12,2026-06-08T22:04:04.479Z
smoke-test,5,3,1,0,0,0,0,2026-06-08T22:51:58.117Z
anonymous,6,5,4,3,2,1,6,2026-06-08T22:51:58.197Z
anonymous,6,5,4,3,2,1,6,2026-06-08T22:51:58.200Z
anonymous,6,5,4,3,2,1,6,2026-06-08T22:51:58.214Z
anonymous,6,5,4,3,2,1,6,2026-06-08T22:51:58.218Z
anonymous,6,5,4,3,2,1,6,2026-06-08T22:51:58.225Z
anonymous,6,5,4,3,2,1,6,2026-06-08T22:51:58.226Z
anonymous,6,5,4,3,2,1,6,2026-06-08T22:51:58.229Z
test-1780959118056-258233-careers,6,5,4,3,2,1,0,2026-06-08T22:51:58.231Z
anonymous,1,1,1,1,1,6,6,2026-06-08T22:51:58.233Z
test-1780959118056-258233-s1,1,2,3,4,5,6,12,2026-06-08T22:51:59.012Z
test-1780959118056-258233-s2,1,2,3,4,5,6,12,2026-06-08T22:51:59.015Z
test-1780959118056-258233-s3,1,1,1,1,1,1,0,2026-06-08T22:51:59.020Z
test-1780959118056-258233-s4,2,2,2,2,2,2,24,2026-06-08T22:51:59.021Z
test-1780959118056-258233-s5,1,0,0,0,0,0,12,2026-06-08T22:51:59.024Z
test-1780959118056-258233-s5,9,0,0,0,0,0,48,2026-06-08T22:51:59.026Z
test-1780959118056-258233-s6,7,0,0,0,0,0,48,2026-06-08T22:51:59.029Z
test-1780959118056-258233-s6,7,0,0,0,0,0,48,2026-06-08T22:51:59.029Z
anonymous,1,1,1,1,1,6,6,2026-06-08T22:51:58.233Z
test-1780959118056-258233-c1,1,1,1,1,1,1,6,2026-06-08T22:51:59.038Z
test-1780959118056-258233-c2,4,4,4,4,4,4,36,2026-06-08T22:51:59.096Z
29f8785a-0d70-495c-a861-53374e9c0346,1,1,1,1,1,0,12,2026-06-08T22:04:04.479Z
29f8785a-0d70-495c-a861-53374e9c0346,1,1,1,1,1,0,12,2026-06-08T22:04:04.479Z
29f8785a-0d70-495c-a861-53374e9c0346,1,1,1,1,1,0,12,2026-06-08T23:35:46.554Z
29f8785a-0d70-495c-a861-53374e9c0346,1,1,1,1,1,0,12,2026-06-08T23:35:46.553Z
29f8785a-0d70-495c-a861-53374e9c0346,1,1,1,1,1,0,12,2026-06-08T23:35:46.554Z
29f8785a-0d70-495c-a861-53374e9c0346,1,1,1,1,1,0,12,2026-06-08T23:35:46.554Z
29f8785a-0d70-495c-a861-53374e9c0346,1,1,1,1,1,0,12,2026-06-09T00:25:31.977Z
29f8785a-0d70-495c-a861-53374e9c0346,1,1,1,1,1,0,12,2026-06-09T00:25:31.978Z
5548a45a-eae5-4610-86cd-f527c01fe710,0,2,2,2,2,2,12,2026-07-10T18:42:07.008Z
5548a45a-eae5-4610-86cd-f527c01fe710,0,2,2,2,2,2,12,2026-07-10T18:42:07.008Z
5548a45a-eae5-4610-86cd-f527c01fe710,0,2,2,2,2,2,12,2026-07-10T18:42:07.123Z
5548a45a-eae5-4610-86cd-f527c01fe710,0,2,2,2,2,2,12,2026-07-10T18:42:07.125Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,4,4,2,2,2,2,12,2026-07-13T00:10:05.853Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,4,4,2,2,2,2,12,2026-07-13T00:10:05.853Z
fe7fe430-bb65-47fb-8965-cedecb17ca13,4,4,2,2,2,2,12,2026-07-13T00:10:09.289Z
