Catalog OID,Catalog Name,School/College Code,School/College Name,Department Code,Department Name,Entity Type,Entity OID,Entity Name,Course OID,Course Type,Prefix,Code,Name,Credits:,Prerequisite(s):,Corequisite(s):,Prerequisite(s) or Corequisite(s):,Description:,Description: (Rendered),Description: (Rendered no HTML),Note:,Note: (Rendered),Note: (Rendered no HTML),Lab Fees:,Field Trips:,General Studies:,Guaranteed Transfer:,University Requirement(s):,Cross Listed Course(s):,Is Active,Creation Date,Last Modified,Program Usage,Program OIDs,Location OIDs,Location Names,Location Descriptions,Location Integration IDs,Location Street Addresses,Location Display Statuses
59,2026-2027 Undergraduate Catalog,,"College of Letters, Arts and Sciences",,Department of Africana Studies,T,2489,Department of Africana Studies,147211,Africana Studies,AAS,1010,Introduction to Africana Studies,3,,,,"<p>This interdisciplinary course in Africana Studies provides an overview of the evolution, scope and objectives of the field, and examines the history, literature, arts, material culture, as well as sociological, political, economic, and philosophical perspectives of the experiences of Blacks, particularly in the United States. The course places the experiences of African Americans within the broader context of the African Diaspora as it explores issues of identity and liberation movement. The course sheds light on the relationship between the past, present and future in shaping Black worldviews and their contributions to the human experience.</p>","<p>This interdisciplinary course in Africana Studies provides an overview of the evolution, scope and objectives of the field, and examines the history, literature, arts, material culture, as well as sociological, political, economic, and philosophical perspectives of the experiences of Blacks, particularly in the United States. The course places the experiences of African Americans within the broader context of the African Diaspora as it explores issues of identity and liberation movement. The course sheds light on the relationship between the past, present and future in shaping Black worldviews and their contributions to the human experience.</p>","This interdisciplinary course in Africana Studies provides an overview of the evolution, scope and objectives of the field, and examines the history, literature, arts, material culture, as well as sociological, political, economic, and philosophical perspectives of the experiences of Blacks, particularly in the United States. The course places the experiences of African Americans within the broader context of the African Diaspora as it explores issues of identity and liberation movement. The course sheds light on the relationship between the past, present and future in shaping Black worldviews and their contributions to the human experience. ",,,,,,Social and Behavioral Sciences,GT-SS3,Ethnic Studies & Social Justice,,1,9/17/2025 10:09,9/17/2025 10:09,"Africana Studies Major with Secondary Social Studies Licensure [INACTIVE],Africana Studies Major, B.A.,Africana Studies Major, B.A. with Secondary Social Studies Teacher Licensure Concentration,Africana Studies Minor,Elementary Education Licensure [INACTIVE],Elementary Education Major, B.A.,Ethnic Studies & Social Justice Graduation Requirement,General Studies Requirements,Music Major, B.A.,Secondary Education Licensure [inactive old],State-Guaranteed General Education Courses","13753, 13467, 13799, 13468, 13519, 13704, 13465, 13665, 13601, 13636, 13816",,,,,,
59,2026-2027 Undergraduate Catalog,,"College of Letters, Arts and Sciences",,Department of Africana Studies,T,2489,Department of Africana Studies,147212,Africana Studies,AAS,1080,Readings in Africana Studies,3,,,,"<p>This self-paced course is based upon selected readings in books, magazines and newspapers on Africana Studies.</p>","<p>This self-paced course is based upon selected readings in books, magazines and newspapers on Africana Studies.</p>","This self-paced course is based upon selected readings in books, magazines and newspapers on Africana Studies. ",,,,,,,,,,1,9/17/2025 10:09,9/17/2025 10:09,,,,,,,,
59,2026-2027 Undergraduate Catalog,,"College of Letters, Arts and Sciences",,Department of Africana Studies,T,2489,Department of Africana Studies,147213,Africana Studies,AAS,1130,Survey of African History,3,Minimum performance standard scores on reading and writing pre-assessment placement tests,,,"<p>This course surveys the major developments on the African continent from ancient times to the modern period. It focuses on political, social, economic, legal, historical, and cultural developments in African civilizations from ancient Egypt to the present.</p>","<p>This course surveys the major developments on the African continent from ancient times to the modern period. It focuses on political, social, economic, legal, historical, and cultural developments in African civilizations from ancient Egypt to the present.</p>","This course surveys the major developments on the African continent from ancient times to the modern period. It focuses on political, social, economic, legal, historical, and cultural developments in African civilizations from ancient Egypt to the present. ",Credit will be granted for only one prefix: AAS or HIS.,Credit will be granted for only one prefix: AAS or HIS.,Credit will be granted for only one prefix: AAS or HIS.,,,"Historical, Global Diversity",GT-HI1,,HIS 1940,1,9/17/2025 10:09,9/17/2025 10:09,"Africana Studies Major with Secondary Social Studies Licensure [INACTIVE],Africana Studies Major, B.A.,Africana Studies Major, B.A. with Secondary Social Studies Teacher Licensure Concentration,Elementary Education Licensure [INACTIVE],Elementary Education Major, B.A.,General Studies Requirements,Secondary Education Licensure [inactive old],State-Guaranteed General Education Courses","13753, 13467, 13799, 13519, 13704, 13665, 13636, 13816",,,,,,
59,2026-2027 Undergraduate Catalog,,"College of Letters, Arts and Sciences",,Department of Africana Studies,T,2489,Department of Africana Studies,147214,Africana Studies,AAS,2000,Social Movements and the Black Experience,3,"AAS 1010, SOC 1010, or Permission of instructor",,,"<p>This course analyzes and interprets the nature, cause, and consequence of Black social movements in the United States, ranging from the slave period to the present. Particular attention is given to the civil rights movement of the 1950s and 1960s.</p>","<p>This course analyzes and interprets the nature, cause, and consequence of Black social movements in the United States, ranging from the slave period to the present. Particular attention is given to the civil rights movement of the 1950s and 1960s.</p>","This course analyzes and interprets the nature, cause, and consequence of Black social movements in the United States, ranging from the slave period to the present. Particular attention is given to the civil rights movement of the 1950s and 1960s. ",Credit will be granted for only one prefix: AAS or SOC.,Credit will be granted for only one prefix: AAS or SOC.,Credit will be granted for only one prefix: AAS or SOC.,,,,,,SOC 2000,1,9/17/2025 10:09,9/17/2025 10:09,"Africana Studies Major with Secondary Social Studies Licensure [INACTIVE],Africana Studies Major, B.A.,Africana Studies Major, B.A. with Secondary Social Studies Teacher Licensure Concentration,Africana Studies Minor,Leadership Studies Minor,Secondary Education Licensure [inactive old]","13753, 13467, 13799, 13468, 13581, 13636",,,,,,
59,2026-2027 Undergraduate Catalog,,"College of Letters, Arts and Sciences",,Department of Africana Studies,T,2489,Department of Africana Studies,147215,Africana Studies,AAS,2010,Interdisciplinary Research Methods in Social Issues,3,GWS 1001 or AAS 1010 or CHS 1000 or Permission of instructor,,,"<p>This course focuses on the interdisciplinary study of methods, analyses and critiques used by scholars to study social issues within and across a range of disciplines (e.g., history, arts, humanities, sciences, education, health, economics, law and social/behavioral sciences). Research designs and general statistical interpretation will be reviewed for each methodology. Techniques for laboratory and field research, conducting qualitative and quantitative studies, and writing research reports will also be included.</p>","<p>This course focuses on the interdisciplinary study of methods, analyses and critiques used by scholars to study social issues within and across a range of disciplines (e.g., history, arts, humanities, sciences, education, health, economics, law and social/behavioral sciences). Research designs and general statistical interpretation will be reviewed for each methodology. Techniques for laboratory and field research, conducting qualitative and quantitative studies, and writing research reports will also be included.</p>","This course focuses on the interdisciplinary study of methods, analyses and critiques used by scholars to study social issues within and across a range of disciplines (e.g., history, arts, humanities, sciences, education, health, economics, law and social/behavioral sciences). Research designs and general statistical interpretation will be reviewed for each methodology. Techniques for laboratory and field research, conducting qualitative and quantitative studies, and writing research reports will also be included. ",Credit will be granted for only one prefix: GWS or AAS or CHS.,Credit will be granted for only one prefix: GWS or AAS or CHS.,Credit will be granted for only one prefix: GWS or AAS or CHS.,,,,,,"CHS 2030, GWS 2010",1,9/17/2025 10:09,9/17/2025 10:09,"Africana Studies Major, B.A.,Africana Studies Major, B.A. with Secondary Social Studies Teacher Licensure Concentration,Africana Studies Minor,Elementary Education Major, B.A.","13467, 13799, 13468, 13704",,,,,,
59,2026-2027 Undergraduate Catalog,,"College of Letters, Arts and Sciences",,Department of Africana Studies,T,2489,Department of Africana Studies,147216,Africana Studies,AAS,2100,Women of Color,3,,,,"<p>In this course students focus on the narratives, practices and everyday life experiences of women of color in the U.S. The similarities and differences among diverse groups of women, and other gender expansive minorities of color, are also examined to better understand the complexity of our gendered and racialized lives. Through an intersectional perspective, students  address issues of work, health, interpersonal violence, media representations, globalization, as well as activism, social change and theoretical innovation. Students complete the course with a better understanding of the systems of privilege and oppression that have historically shaped the experiences of women of color and will acquire new tools to analyze social and cultural experiences.   </p>","<p>In this course students focus on the narratives, practices and everyday life experiences of women of color in the U.S. The similarities and differences among diverse groups of women, and other gender expansive minorities of color, are also examined to better understand the complexity of our gendered and racialized lives. Through an intersectional perspective, students  address issues of work, health, interpersonal violence, media representations, globalization, as well as activism, social change and theoretical innovation. Students complete the course with a better understanding of the systems of privilege and oppression that have historically shaped the experiences of women of color and will acquire new tools to analyze social and cultural experiences.   </p>","In this course students focus on the narratives, practices and everyday life experiences of women of color in the U.S. The similarities and differences among diverse groups of women, and other gender expansive minorities of color, are also examined to better understand the complexity of our gendered and racialized lives. Through an intersectional perspective, students  address issues of work, health, interpersonal violence, media representations, globalization, as well as activism, social change and theoretical innovation. Students complete the course with a better understanding of the systems of privilege and oppression that have historically shaped the experiences of women of color and will acquire new tools to analyze social and cultural experiences.    ","<p>Credit will be granted for only one prefix: AAS, CHS, or GWS.</p>","<p>Credit will be granted for only one prefix: AAS, CHS, or GWS.</p>","Credit will be granted for only one prefix: AAS, CHS, or GWS. ",,,Social and Behavioral Sciences,GT-SS3,Ethnic Studies & Social Justice,"CHS 2100, GWS 2100",1,9/17/2025 10:09,9/17/2025 10:09,"Africana Studies Major, B.A.,Africana Studies Minor,Elementary Education Major, B.A.,Ethnic Studies & Social Justice Graduation Requirement,General Studies Requirements,State-Guaranteed General Education Courses","13467, 13468, 13704, 13465, 13665, 13816",,,,,,
59,2026-2027 Undergraduate Catalog,,"College of Letters, Arts and Sciences",,Department of Africana Studies,T,2489,Department of Africana Studies,147218,Africana Studies,AAS,2200,Politics and Black People,3,"Completion of General Studies requirements in Quantitative Literacy, and either ENG 1009 or ENG 1010 or the General Studies requirement in Oral Communication",,,"<p>Black politics is examined as a vehicle and potential in decision making for positive change for Black people in this country. The realities and the challenges, both historical and current, are emphasized.</p>","<p>Black politics is examined as a vehicle and potential in decision making for positive change for Black people in this country. The realities and the challenges, both historical and current, are emphasized.</p>","Black politics is examined as a vehicle and potential in decision making for positive change for Black people in this country. The realities and the challenges, both historical and current, are emphasized. ",Credit will be granted for only one prefix: PSC or AAS.,Credit will be granted for only one prefix: PSC or AAS.,Credit will be granted for only one prefix: PSC or AAS.,,,,,Ethnic Studies & Social Justice,PSC 2200,1,9/17/2025 10:09,9/17/2025 10:09,"Africana Studies Major, B.A.,Africana Studies Minor,Elementary Education Licensure [INACTIVE],Elementary Education Major, B.A.,Ethnic Studies & Social Justice Graduation Requirement","13467, 13468, 13519, 13704, 13465",,,,,,
59,2026-2027 Undergraduate Catalog,,"College of Letters, Arts and Sciences",,Department of Africana Studies,T,2489,Department of Africana Studies,147219,Africana Studies,AAS,2300,African Peoples and Cultures,3,,,,<p>This course examines traditional cultures of African peoples and gives added understanding of culture and people in relation to human problems and experiences.</p>,<p>This course examines traditional cultures of African peoples and gives added understanding of culture and people in relation to human problems and experiences.</p>,This course examines traditional cultures of African peoples and gives added understanding of culture and people in relation to human problems and experiences. ,Credit will be granted for only one prefix: AAS or ANT.,Credit will be granted for only one prefix: AAS or ANT.,Credit will be granted for only one prefix: AAS or ANT.,,,,,,ANT 2350,1,9/17/2025 10:09,9/17/2025 10:09,"Africana Studies Major, B.A.",13467,,,,,,
59,2026-2027 Undergraduate Catalog,,"College of Letters, Arts and Sciences",,Department of Africana Studies,T,2489,Department of Africana Studies,147221,Africana Studies,AAS,3130,Readings in African History,3,AAS 1130 or Permission of instructor,,, This course provides the opportunity for students to explore important writings in a selected subject area of African history. Students advance their knowledge of the materials and information related to the field of African history., This course provides the opportunity for students to explore important writings in a selected subject area of African history. Students advance their knowledge of the materials and information related to the field of African history., This course provides the opportunity for students to explore important writings in a selected subject area of African history. Students advance their knowledge of the materials and information related to the field of African history.,,,,,,,,,,1,9/17/2025 10:09,9/17/2025 10:09,,,,,,,,
59,2026-2027 Undergraduate Catalog,,"College of Letters, Arts and Sciences",,Department of Africana Studies,T,2489,Department of Africana Studies,147222,Africana Studies,AAS,3220,Prejudice and Discrimination,3,SOC 1010 or AAS 1010 or permission of instructor,,,"<p>In this course, students examine the social construction of prejudice and discrimination in the United States, focusing on how racism, colonialism, and intersecting systems of oppression shape institutions and everyday life. We analyze the historical and contemporary experiences of racially and ethnically marginalized groups while exploring resilience, activism, and movements for social justice.</p>","<p>In this course, students examine the social construction of prejudice and discrimination in the United States, focusing on how racism, colonialism, and intersecting systems of oppression shape institutions and everyday life. We analyze the historical and contemporary experiences of racially and ethnically marginalized groups while exploring resilience, activism, and movements for social justice.</p>","In this course, students examine the social construction of prejudice and discrimination in the United States, focusing on how racism, colonialism, and intersecting systems of oppression shape institutions and everyday life. We analyze the historical and contemporary experiences of racially and ethnically marginalized groups while exploring resilience, activism, and movements for social justice. ",<p>Credit will be granted for only one prefix: AAS or SOC</p>,<p>Credit will be granted for only one prefix: AAS or SOC</p>,Credit will be granted for only one prefix: AAS or SOC ,,,,,Ethnic Studies & Social Justice,SOC 3220,1,9/17/2025 10:09,1/29/2026 17:56,"Africana Studies Major, B.A.,Ethnic Studies & Social Justice Graduation Requirement","13467, 13465",,,,,,
