onetsoc_code,cip_code,match_strength,qualifier,note
11-1011.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-1011.00,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-1011.00,52.0701,0.88,,"seeded from ""Entrepreneurship"""
11-1011.03,03.0103,0.98,,"seeded from ""Environmental Sustainability"""
11-1011.03,14.1401,0.77,,"seeded from ""Environmental Engineering"""
11-1011.03,52.0201,0.77,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-1021.00,52.0201,0.91,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-1021.00,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-1021.00,52.1001,0.89,,"seeded from ""Human Resource Management"""
11-1031.00,45.1001,0.95,,"seeded from ""Political Science"""
11-2011.00,23.1304,0.70,,"seeded from ""Communication Studies"""
11-2011.00,52.0201,0.72,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-2011.00,52.1399,0.80,,"seeded from ""Business Intelligence"""
11-2011.00,52.1401,0.96,,"seeded from ""Marketing"""
11-2021.00,23.1304,0.70,,"seeded from ""Communication Studies"""
11-2021.00,52.0201,0.72,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-2021.00,52.1399,0.80,,"seeded from ""Business Intelligence"""
11-2021.00,52.1401,0.96,,"seeded from ""Marketing"""
11-2022.00,52.0201,0.90,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-2022.00,52.0201,0.90,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-2022.00,52.0299,0.82,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-2022.00,52.0701,0.91,,"seeded from ""Entrepreneurship"""
11-2022.00,52.1804,0.98,,"seeded from ""Professional Selling"""
11-2032.00,09.0900,0.98,,"seeded from ""Public Relations"""
11-2032.00,50.0702,0.62,,"seeded from ""Art"""
11-2032.00,50.0703,0.62,,"seeded from ""Art History, Theory, and Criticism"""
11-2033.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-2033.00,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-2033.00,52.0299,0.80,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-3012.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-3012.00,52.0201,0.92,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-3012.00,52.0299,0.80,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-3013.00,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-3013.00,52.0201,0.91,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-3013.00,52.0299,0.91,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-3013.01,11.1003,0.98,"Computer Security Major, B.S.","seeded from ""Computer Security""; CIP shared"
11-3013.01,52.0201,0.98,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-3013.01,52.0201,0.98,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-3013.01,52.0299,0.80,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-3021.00,51.2706,0.89,,"seeded from ""Health Care Information Systems Major"""
11-3021.00,52.1201,0.98,,"seeded from ""Computer Information Systems"""
11-3021.00,52.1399,0.84,,"seeded from ""Business Intelligence"""
11-3031.00,52.0201,0.94,"Business Administration Major, B.S.","seeded from ""Business Administration""; CIP shared"
11-3031.00,52.0201,0.94,"Management Major, B.S.","seeded from ""Management""; CIP shared"
11-3031.00,52.0299,0.85,"Operations Management Major, B.S.","seeded from ""Operations Management""; CIP shared"
11-3031.00,52.0301,0.90,,"seeded from ""Accounting"""
11-3031.00,52.0801,0.98,,"seeded from ""Finance"""
11-3031.01,52.0301,0.65,,"seeded from ""Accounting"""
11-3031.01,52.0801,0.98,,"seeded from ""Finance"""
