Program OID,Program Name,Program Type,Degree Type,Description snippet
"13465","Ethnic Studies & Social Justice Graduation Requirement","Requirements","Requirements","<p>To earn a bachelor's degree, students must complete a 3-credit Ethnic Studies and Social Justice (ESSJ) course.&nbsp;</p> <p>Ethnic Studies &amp; Social Justice courses can satisfy both the Ethnic "
"13469","Air Force ROTC Modified Two-Year Program","Military Programs","Special Programs","<p>This program is offered to full-time, regularly enrolled degree students. It requires at least two years of full-time college undergraduate or graduate level, or a combination). Those selected for "
"13470","Air Force ROTC Standard Four-Year Program","Military Programs","Special Programs","<p>This program is in three parts: the General Military Course (GMC) for lower-division students; the Professional Officer Course (POC) for upper-division students; and the Leadership Laboratory (LLAB"
"13473","Special Education - ALP","Alternative Licensure Programs","Teacher Licensure Programs","<p>The Alternative Licensure Program Special Education is an Alternative Licensure Program that provides an alternative pathway to K-12 licensure as a Special Education Generalist. Courses required fo"
"13477","K-12 Art Licensure","Undergraduate Teacher Preparation and Licensure Programs","Teacher Licensure Programs","<p>Students pursuing recommendation for K-12 art licensure should complete the Bachelor of Arts in Art Education. Please refer to the Art Education Major, B.A.&nbsp;for program requirements.</p> <p>&n"
"13480","Aviation and Aerospace Management (AAM) Major, B.S.","Undergraduate Majors","Bachelor of Science","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td> <p>Department of Aviation and Aerospace Science&nbsp;</p> <p>College of Aerospace, Computing, Engineering, and D"
"13482","Aviation and Aerospace Science (ASC) Major, B.S.","Undergraduate Majors","Bachelor of Science","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td> <p>Department of Aviation and Aerospace Science&nbsp;</p> <p>College of Aerospace, Computing, Engineering, and D"
"13491","Chemistry Major for ACS Certified B.S.","Undergraduate Majors","Bachelor of Science","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td> <p>Department of Chemistry and Biochemistry&nbsp;</p> <p>College of Letters, Arts and Sciences&nbsp;</p> </td> <"
"13510","Early Childhood Education Post-Baccalaureate Licensure Program","Post-Baccalaureate Teacher Licensure Programs","Teacher Licensure Programs","<p>The Early Childhood Education (ECE) Post-baccalaureate program is designed to prepare degreed individuals to become highly effective and culturally responsive&nbsp;teachers and related professional"
"13520","Elementary Education Post-Baccalaureate Licensure Program","Post-Baccalaureate Teacher Licensure Programs","Teacher Licensure Programs","<p>Post-baccalaureate elementary licensure candidates should consult with an advisor in the Department of Elementary Education &amp; Literacy prior to registering for any courses. A grade of C- or bet"
"13552","Honors Program","Special Academic Programs","Special Programs","<p>The Honors Program is rooted in the MSU Denver mission<em><strong> to provide a high-quality, accessible, enriching education to a diverse student population in an atmosphere of mutual respect.</st"
"13561","Individualized Degree Program","Special Academic Programs","Special Programs","<p>As a large, urban institution of higher education, Metropolitan State University of Denver is committed to responding to the specific educational goals of a diverse student population. The Individu"
"13571","International Business Concentration","Concentrations","Concentration","<p><strong>For Business Majors Only</strong></p> <p>The International Business Concentration offers business majors an opportunity to add an international component to their degree program. It provide"
"13576","World Languages Major, B.A. with K-12 World Languages Teacher Licensure Concentration","Undergraduate Teacher Preparation and Licensure Programs","Teacher Licensure Programs","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td> <p>Department of World Languages&nbsp;</p> <p>College of Letters, Arts and Sciences&nbsp;</p> </td> <td>&nbsp;</"
"13577","K-12 Physical Education Licensure: Post-Baccalaureate Program","Post-Baccalaureate Teacher Licensure Programs","Teacher Licensure Programs","<p>Admission requirements for post-baccalaureate students&nbsp;seeking K-12 Physical Education licensure include evidence of having a conferred Bachelor's degree and meeting the criteria for formal ad"
"13594","Military Science (Army ROTC) Standard Four-Year Program","Military Programs","Special Programs","<p>The Basic Course taken during the Freshman and Sophomore years is designed to introduce students to the Army. A variety of subjects such as first aid, land navigation and military history are cover"
"13595","Military Science (Army ROTC) Standard Two-Year Program","Military Programs","Special Programs","<p>Under this program students may enter the Advanced Course during their Junior year without participating in the Basic Course. They receive credit for the Basic Course by attending a five-week summe"
"13611","Nursing Major - Accelerated Nursing Option, B.S.N.","Undergraduate Majors","Bachelor of Science","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td> <p>Department of Nursing&nbsp;</p> <p>College of Health and Human Sciences&nbsp;</p> </td> <td>&nbsp;</td> <td s"
"13665","General Studies Requirements","Requirements","Requirements","<p>To earn a bachelor's degree, students must satisfy the university's General Studies requirements.&nbsp;</p> <p>A baccalaureate degree includes a broad-based education that prepares students for the"
"13669","Internship Program","Special Academic Programs","Special Programs","<p>The Classroom to Career (C2) Hub hosts a myriad of resources to support students' career aspirations. Within the C2 Hub, students can seek and land experiential learning opportunities including int"
"13672","Undergraduate Research Program","Special Academic Programs","Special Programs","<p>Research experiences build valuable problem solving and critical thinking skills. Students who engage in faculty-led research enhance their engagement with their chosen profession and increase chan"
"13673","Community Engaged Learning Program","Special Academic Programs","Special Programs","<p>Community Engaged Learning is a form of experiential learning in which students combine classroom experience with community-based service. Activities provide a forum for students to meet an identif"
"13675","Special Education Post-Baccalaureate Licensure Program","Post-Baccalaureate Teacher Licensure Programs","Teacher Licensure Programs","<p>MSU&nbsp;Denver's post-baccalaureate licensure program in Special Education provides candidates with a case-based curriculum designed to prepare candidates to meet the needs of children and adolesc"
"13676","Senior Experience Graduation Requirement","Requirements","Requirements","<p>To earn a bachelor's degree, students must complete a 3-credit Senior Experience course or selection of Senior Experience courses that total at least 3 credits.&nbsp;</p> <p>The Senior Experience c"
"13677","Two Year General Education - ALP","Alternative Licensure Programs","Teacher Licensure Programs","<p>One alternative pathway to regular education elementary and secondary licensure at MSU&nbsp;Denver is the Colorado Department of Education-approved, Two-year Alternative Licensure Program. After be"
"13678","Alternative Licensure Program: General Education","Alternative Licensure Programs","Teacher Licensure Programs","<p>One alternative pathway to general education elementary and secondary licensure at MSU&nbsp;Denver is the Colorado Department of Education-approved, Alternative Licensure Program (ALP). After being"
"13679","K-12 Physical Education Licensure","Undergraduate Teacher Preparation and Licensure Programs","Teacher Licensure Programs","<p>The core curriculum is designed to prepare candidates to pass the K-12 Physical Education Content Exam and to teach to the Colorado Model Content Standards for K-12 Physical Education. <strong>Lice"
"13680","K-12 Music Licensure","Undergraduate Teacher Preparation and Licensure Programs","Teacher Licensure Programs","<p>The K-12 Licensure Program prepares candidates to teach content-area courses in grades K-12. Through the sequence of courses and field experiences, the candidate satisfies all of Colorado's perform"
"13681","K-12 Art Licensure: Post-Baccalaureate Program","Post-Baccalaureate Teacher Licensure Programs","Teacher Licensure Programs","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:100%""> <tbody> <tr> <td>Department of Secondary, K-12 and Educational Technology&nbsp;</td> </tr> <tr> <td>School of Education&nbsp;</td>"
